Schema Name,View Name,Column Name,Datatype,Change Type,New View,New Column,New Datatype,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Compute_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Containers_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Databases_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Developer_Tools_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Gaming_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Integration_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Internet_of_Things_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Management_and_Governance_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Microsoft_Syntex_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Mixed_Reality_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Mobile_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Networking_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Other_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Power_Platform_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Quantum_Computing_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Security_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Storage_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Unknown_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Web_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Windows_Virtual_Desktop_DataAICR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_AI_+_Machine_Learning_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Analytics_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Arc_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Communication_Services_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Stack_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Blockchain_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Compute_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Containers_AzureSecurityCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Databases_AzureSecurityCR,decimal,Deprecate,,,,,
